"NOAA.ID","study.name","early.year","recent.year","lat","long","elev"
"1000016","MEXI022",1500,1980,26.4,-106.08,3170
"1000017","MEXI023",1500,1980,26.4,-106.08,3170
"1000020","MT110",1200,1987,45.3,-111.33,2500
"1000024","MT114",1200,1987,45.3,-111.32,2500
"1000038","NM572",1200,1987,34.97,-108.1,2423
"1000113","WA047",1500,1980,48.05,-121.4,805
"1000116","WA086",1500,1980,47.83,-123.03,867
"1000117","WA088",1500,1980,48,-124,267
"1000118","WA090",1500,1980,47.88,-121.33,967
"1000120","WY027",1200,1987,44.98,-110.67,2179
"1000174","CO572",1200,1987,40.32,-105.55,2800
"1000176","CO580",1200,1987,39,-108.15,2987
"1000179","CO617",1200,1987,38.8,-106.23,2956
"1000180","CO619",1200,1987,40.02,-105.52,2746
"12618","CO644",379,2004,39.65,-106.8667,1950
"12619","CO646",602,2004,39.85,-106.23,2514
"12620","CO647",1230,2005,37.2,-108.5,2134
"12695","MT118",1455,2003,48.9167,-113.75,1672
"12699","MT122",1163,2002,48.5167,-113.3667,1950
"12700","MT123",1564,2001,48.4833,-113.3667,1636
"12701","MT124",1509,2001,47.9167,-112.7333,1678
"12702","MT125",1602,2009,46.2667,-110.5333,1800
"12738","UT529",350,2005,37.9333,-109.8,2431
"12739","UT530",-322,2005,39.6,-110.333,2134
"12755","WY039",1477,2007,44.9333,-109.65,2591
"12756","WY040",1194,2000,44.1833,-108.7167,1474
"12759","WY043",1576,2006,42.85,-109.6333,2431
"12760","WY045",1507,2006,42.9667,-109.7667,2430
"13759","CANA327",1576,2007,52.19,-116.44,1320
"13763","CANA331",1555,2008,52.072,-116.388,1420
"13764","CANA332",1482,2004,49.9,-114.2,1661
"13765","CANA333",1375,2004,49.7,-114,1395
"13766","CANA334",1572,2004,50,-114.2,1677
"13768","CANA336",1203,2007,49.9,-114.2,1331
"13769","CANA337",1597,2003,51.13,-114.98,1320
"13770","CANA338",1341,2004,51.3,-114.7,1351
"13771","CANA339",1525,2004,49.9,-114.1,1575
"13775","CANA343",1618,2004,49.9,-114.4,1648
"13777","CANA346",1734,2003,49.9667,-114.0833,1706
"13778","CANA347",1509,2004,49.9,-114.2,1602
"13781","CANA350",1496,2007,52.06,-116.43,1560
"14324","AZ557",1500,1980,32.45,-110.78,2550
"16486","CA682",1900,2009,40,-121,NA
"16582","CANA426",1534,2008,52.9167,-118.05,1220
"16583","CANA427",1749,2008,52.9333,-118.0667,1230
"16585","CANA428",1749,2006,52.9167,-118.0667,1200
"16586","CANA429",1693,2006,52.8833,-118.1167,1220
"16813","UT536",1370,2012,41.35,-111.9667,2133
"16814","UT537",1133,2011,41.3667,-111.95,2750
"16815","UT538",1274,2010,41.91,-111.65,2730
"17254","ID017",1673,2009,48.37,-116.79,903
"17256","MT129",1690,2006,47.3333,-114.8667,1340
"17257","MT130",1307,2008,46.8167,-114.25,NA
"17258","MT131",1665,2008,46.65,-113.6333,1371
"17259","MT132",1611,2006,46.8557,-114.6855,1160
"17260","MT133",1674,2009,46.7667,-111.7667,1650
"18199","MT134",1799,2009,46.0833,-110.8167,1650
"18961","OR096",1838,2013,44.4333,-121.95,1139
"19079","CO651",722,2011,37.2739,-108.3478,2226
"19080","CO652",480,2011,37.2739,-108.3478,2226
"19967","WY052",1076,2007,43.5727,-110.2094,2457
"19970","WY055",1584,2006,43.3042,-110.6711,1997
"20830","MEXI050",1880,2010,28.018,-107.817,2285
"20831","MEXI051",1669,2002,28.122,-107.95,2781
"20832","MEXI052",1774,2010,29.322,-108.211,2740
"20834","MEXI053",1715,2010,28.085,-107.86,2420
"20835","MEXI054",1774,2001,29.308,-108.192,2820
"20839","MEXI055",1598,2008,30.543,-108.619,2665
"20840","MEXI056",1657,2005,25.934,-107.013,2950
"20850","MEXI057",1534,2012,28.622,-108.264,1920
"20851","MEXI058",1700,2001,25.234,-103.919,2990
"20856","MEXI063",1776,2001,25.275,-100.492,NA
"20857","MEXI064",1780,2003,27.038,-102.358,2050
"20858","MEXI065",1680,2007,25.238,-100.372,2139
"20862","MEXI068",1709,2004,25.418,-105.538,2790
"20863","MEXI069",1770,2008,25.053,-106.074,3039
"20864","MEXI070",1675,2001,24.609,-105.108,3170
"20866","MEXI071",1681,2001,23.453,-104.841,2980
"20868","MEXI073",1650,2004,23.661,-105.437,2700
"20869","MEXI074",1436,2006,26.394,-106.082,3180
"20870","MEXI075",1418,2005,26.183,-106.343,2900
"20871","MEXI076",1552,2006,25.076,-105.738,1631
"20872","MEXI077",1680,2007,23.756,-105.588,1736
"20873","MEXI078",1449,2002,25.951,-106.356,1950
"20874","MEXI079",1770,2012,23.495,-104.536,2300
"20875","MEXI080",1651,1993,25.15,-106.383,2500
"20877","MEXI082",1693,2003,25.559,-105.954,2730
"20878","MEXI083",1573,2007,24.318,-105.919,1284
"20880","MEXI084",1835,2009,23.398,-104.096,2580
"20881","MEXI085",1875,2012,23.541,-105.041,2408
"20882","MEXI086",1724,2003,25.571,-106.341,2580
"20895","MEXI089",1905,2001,20.204,-98.717,2319
"20902","MEXI095",1450,2013,23.817,-99.841,3200
"20905","MEXI097",1902,2010,19.519,-97.779,2840
"20906","MEXI098",1656,2010,19.13,-97.323,3010
"20908","MEXI100",1690,2009,19.554,-97.893,2767
"20909","MEXI101",1719,2007,19.532,-97.917,2845
"20912","MEXI104",1834,2001,23.218,-103.953,2758
"22116","AZ566",1698,2009,32.377,-110.685,1877
"22118","AZ568",1565,2008,33.8,-109.32,2438
"22123","AZ571",1652,2008,32.627,-110.298,2074
"22125","AZ573",1628,2008,31.726,-110.84,2278
"22126","AZ574",1490,2008,31.723,-110.839,2385
"22129","AZ579",1626,2008,32.622,-109.819,2667
"22130","AZ580",1608,2010,31.924,-109.263,2316
"22131","AZ581",1605,2008,32.586,-110.283,2252
"22132","AZ582",1797,2008,35.09,-113.9,2300
"22133","AZ583",1618,2010,32,-109.33,1828
"22135","AZ584",1150,1998,32.45,-110.78,2550
"22136","AZ586",1591,2008,32.12,-110.52,2200
"22151","AZ587",1536,2009,32.442,-110.784,2746
"22152","AZ588",1630,2009,31.461,-110.355,1812
"22153","AZ589",340,2008,36.6833,-110.5333,NA
"22154","AZ590",1458,2008,33.992,-109.381,2969
"22155","AZ591",1645,2010,35.17,-111.52,2057
"22157","AZ593",1464,2008,32.712,-109.922,3014
"22175","CO655",1000,2002,39.02,-108.23,2636
"22316","NM590",1304,2008,33.355,-108.259,2489
"22318","NM592",1610,2008,36.996,-107.801,2036
"22319","NM593",1295,2008,36.357,-106.526,2029
"22320","NM594",1801,2009,32.914,-107.765,2540
"22322","NM596",1591,2009,34.069,-108.702,2707
"22325","NM599",1665,2009,33.733,-108.958,2600
"22326","NM600",622,2008,33.984,-107.167,3044
"22327","NM601",1597,2009,32.349,-106.564,2475
"22329","NM602",1643,2009,36.701,-107.32,2005
"22333","NM606",785,1995,35.25,-107.5,NA
"22335","NM608",1313,2008,35.6,-108.13,2286
"22336","NM609",1627,2008,32.8,-105.8,2865
"22339","NM611",1669,2008,33.407,-108.216,2532
"22343","NM615",0,2004,34.97,-108.1,2423
"22344","NM616",1616,2008,34.244,-105.796,2439
"22362","TX056",1362,2008,31.9,-104.85,2438
"22366","UT544",1347,2009,37.62,-110.02,1859
"26250","WA149",1650,2011,48.588,-123.197,35
"2658","AZ556",1630,1995,31.45,-110.35,1750
"2659","AZ559",1571,2001,32.72,-109.92,3020
"2718","UT523",1702,1862,40.8,-111.9,2835
"27382","CANA562",1615,2006,49.81,-113.94,1590
"27383","CANA563",1579,2004,49.9,-114.2,1685
"27385","CANA565",1759,2005,49.01,-113.9,1300
"27386","CANA566",1525,2012,49.89,-114.3,1450
"27387","CANA567",1442,2004,50.0167,-114.1833,1540
"27388","CANA568",1627,2004,49.4,-114.1,1570
"27390","CANA570",1377,2004,49.7,-114,1395
"27391","CANA571",1613,2004,50,-114.2,1675
"27392","CANA572",1450,2005,49.07,-113.9,1285
"27395","CANA576",1738,2009,49.14,-113.45,1260
"27398","CANA579",1340,2004,50.3333,-114.25,1500
"27399","CANA580",1575,2003,51.2,-114.3,1575
"27401","CANA582",1708,2005,50.09,-114.14,1540
"27402","CANA583",1567,2013,49.89,-114.18,1570
"27403","CANA584",1552,2004,49.9,-114.1,1575
"27431","CANA588",1579,2007,49.427,-119.86,NA
"27432","CANA589",1619,2008,49.74,-119.46,NA
"27439","CO658",1319,2013,38.73,-106.8,2926
"27456","CO662",203,2004,39.65,-106.87,1951
"27459","CO665",1561,2003,39.066667,-104.933333,2410
"27461","CO667",380,2004,39,-108.15,2987
"27462","CO668",1634,2000,38.45,-106.38333,3650
"27465","CO671",635,2005,40.92,-106.33,2469
"27496","ID021",1257,2006,43.82,-114.26,2450
"27497","ID022",1299,2006,42.67,-112.35,2600
"27498","ID023",1135,2007,44.42,-114.25,1700
"27514","MT140",369,1998,45.0167,-108.6167,2100
"27516","MT142",1499,2002,48.9833,-114.25,1710
"27517","MT143",1580,2010,48.1,-109.6,1485
"27519","MT145",1581,2002,48.25,-109.5,1500
"27520","MT146",1621,2002,48.2,-109.7,1800
"27521","MT147",1187,2006,44.67,-112.78,2150
"27523","MT149",1406,2000,46.0333,-110.2,2030
"27531","MT150",1399,2007,45.045,-109.406,2713
"27532","MT151",1688,2013,45.83,-112.35,1676
"27535","MT154",1703,2013,47.49649,-110.57746,1611
"27536","MT155",1660,2001,48.3833,-113.6167,1890
"27537","MT156",1713,2013,46.97787,-110.5232,1835
"27540","MT159",1337,2002,48.7,-113.5167,1860
"27542","MT160",1558,2013,46.72,-111.8,1128
"27543","MT161",1660,2005,47.46,-110.56,1425
"27544","MT162",1699,2005,46.86,-110.99,1830
"27545","MT163",1281,2013,46.4715,-110.6714,2095
"27546","MT164",1532,2013,45.6,-110.55,1433
"27548","MT166",1501,2003,47.1833,-109.2167,1666
"27550","MT168",1645,2001,48.85,-114.2,1695
"27551","MT169",1529,2003,48.35,-113.5,1800
"27572","MT173",1338,1996,48.8333,-111.5,1800
"2761","ID014",1135,1995,44.42,-114.25,1700
"27620","WY057",1519,2006,42.49,-108.93,2555
"27622","WY059",1057,2000,44.2333,-109.35,2400
"27623","WY060",1392,1998,44.05,-107.3833,1560
"27624","WY061",1098,2006,44.48,-109.67,2000
"27625","WY062",1441,2007,44.0333,-113.1667,2639
"27626","WY063",1558,2006,43.23,-110.8,2100
"27631","WY068",1186,1998,44.4833,-107.6167,2500
"27633","WY070",1097,1999,43.95,-109.2833,2500
"2809","AZ554",1556,1983,33.97,-109.55,2940
"2810","OR043",1504,1983,45.32,-121.65,1300
"2817","AZ551",1703,1983,31.85,-109.3,2790
"2818","CA558",1642,1983,40.75,-123.67,1560
"2835","WA084",1750,1983,47.97,-123.43,1360
"2838","AZ555",1568,1983,32.45,-110.78,2700
"2849","NM571",1735,1983,35.25,-107.5,3000
"2851","NM570",1554,1983,33.33,-105.67,3120
"2874","CA608",1760,1997,38.02,-122.8,120
"2879","WA003",1743,1975,48.83,-118.3,3200
"2880","WA031",1750,1976,47.82,-123.15,1550
"2883","WA001",1822,1975,48.98,-118.05,1372
"2885","WA008",1791,1975,48.12,-118.78,1253
"2886","WA007",1794,1975,48.25,-118.75,988
"2888","WA020",1710,1976,47.95,-123.25,1550
"2889","WA033",1534,1976,45.88,-122.03,810
"2890","WA036",1772,1976,47.97,-123.47,1550
"2895","WA032",1742,1976,47.98,-123.47,1550
"2900","WA027",1397,1976,45.97,-121.98,930
"2901","WA004",1822,1975,48.48,-118.8,1120
"2904","WA034",1628,1976,48.13,-121.63,710
"2905","WA006",1807,1975,48.3,-117.17,914
"2906","WA019",1548,1976,48.9,-121.8,550
"2908","WA023",1748,1976,48.48,-120.73,1468
"2909","WA025",1586,1976,48.73,-121.05,612
"2910","WA041",1321,1976,48.35,-121.75,1180
"2911","WA005",1800,1975,48.83,-117.55,1219
"2912","WA002",1825,1975,48.77,-118.48,1676
"2913","WA017",1420,1975,46.67,-121.53,1224
"2942","NM520",1540,1978,35.97,-108.8,2755
"2944","NM503",1487,1978,36.98,-107.07,2073
"2947","NM537",1570,1978,36.68,-107.32,2073
"2948","CO509",1373,1978,37.18,-108.48,2115
"2960","TX042",1473,1992,29.25,-103.3,2057
"3063","CO076",1389,1972,37.17,-108.52,2042
"3065","AZ082",1376,1972,36.1,-109.38,1828
"3074","NM022",1660,1971,37,-107.82,2073
"3075","NM026",1362,1972,36.35,-106.52,2042
"3089","AZ023",1304,1962,36.67,-110.5,2012
"3095","NM024",1643,1971,36.68,-107.32,2103
"3100","NM039",1690,1972,35.53,-105.57,2286
"3103","NM025",1381,1972,35.6,-108.13,2286
"31053","CANA611",1862,2017,50.853,-120.52,1000
"3108","AZ080",1598,1971,36.1,-109.35,1905
"3113","AZ083",1500,1971,36.22,-109.35,1951
"3116","UT023",1347,1972,37.62,-110.02,1859
"3187","WA085",1515,1987,47.37,-121.33,798
"3188","WA086",1288,1987,47.83,-123.03,867
"3189","WA087",1502,1987,48.33,-121.72,1052
"3191","WA088",1394,1987,48,-124,267
"3192","WA090",1326,1987,47.88,-121.33,967
"3193","WY019",1412,1990,41.13,-106.05,2375
"3194","WA089",1539,1987,46.63,-121.83,900
"3195","WA091",1410,1987,46.8,-121.88,970
"31997","UT548",1395,2019,37.6596,-112.856,3069
"3217","AZ558",1464,1999,32.7,-109.92,3025
"3221","WA042",1520,1965,48.58,-120.17,701
"3222","MT103",1688,1965,45.83,-112.35,1676
"3225","WY005",1580,1971,44.58,-109.08,2133
"3226","MT002",1368,1965,44.55,-112.8,2084
"3228","WY013",1490,1965,43.22,-110.78,1981
"3229","CANA024",1560,1965,51.07,-115.18,1310
"3230","CANA022",1460,1965,51.17,-115.55,1310
"3232","MT006",1185,1971,45,-110.72,1676
"3235","MT100",1565,1965,46.72,-111.8,1128
"3236","ID004",1521,1965,43.67,-114.33,1829
"3238","MT102",1532,1965,45.6,-110.55,1433
"3243","CANA016",1770,1965,49.6,-119.58,610
"3244","WA045",1700,1966,48.42,-120.05,914
"3245","CANA020",1410,1965,51.2,-115.52,1432
"3246","CANA028",1630,1965,52.92,-118.1,1128
"3247","CANA026",1540,1965,52.9,-118.08,1128
"3248","ID005",1569,1965,44.97,-113.95,1402
"3250","MT104",1623,1971,45.42,-111.27,1829
"3252","CANA021",1570,1965,51.17,-115.55,1402
"3258","CO036",1700,1964,40.42,-105.28,1890
"3262","CO033",1610,1964,39.93,-105.28,1981
"3266","CO039",1580,1964,40.57,-105.2,2073
"3270","CANA013",1505,1965,50.75,-120.55,822
"3271","CANA012",1420,1965,50.75,-120.55,822
"3278","CANA011",1460,1965,50.75,-120.55,1158
"3298","OR026",1614,1981,42.92,-122.5,1448
"3302","WA053",1324,1980,47.6,-123.58,988
"3307","WA049",1500,1980,48.07,-121.33,747
"3310","WA047",1248,1980,48.05,-121.4,805
"3312","WA048",1286,1979,46.88,-121.62,1170
"3321","WY027",1168,1999,44.98,-110.67,2179
"3323","WA050",1447,1980,47.02,-121.7,914
"3331","WA055",1499,1980,47.98,-123.05,750
"3333","WA062",1601,1980,47.07,-121.57,790
"3334","WA054",1574,1980,47.6,-123.23,830
"3341","AZ515",1610,1987,32.42,-110.73,2484
"3344","NM565",1470,1986,33.38,-108.23,2651
"3345","AZ514",1580,1987,33.8,-109.32,2438
"3354","CO533",1550,1987,39.93,-105.27,1889
"3361","AZ519",1550,1986,32.38,-110.68,2194
"3369","CO537",1800,1987,40.53,-105.2,2097
"3373","CO540",1800,1988,39.45,-105.13,1828
"33796","AZ609",1763,2016,35.32,-111.72,2682
"3391","AZ531",1640,1987,32.22,-110.55,2441
"3396","AZ534",1650,1986,31.93,-109.27,2286
"3397","AZ536",1610,1986,32.68,-109.88,2727
"3400","AZ537",1640,1987,32,-109.33,1828
"3405","AZ535",1770,1987,35.32,-111.72,2682
"3406","AZ544",1600,1986,31.72,-110.83,2407
"3420","AZ548",1680,1986,35.17,-111.52,2057
"3426","NM572",-130,1992,34.97,-108.1,2423
"3435","AZ549",1557,1991,32.7,-109.93,2950
"3437","UT513",1336,1998,37.6,-112.15,2500
"3445","UT514",1259,1998,37.72,-111.93,3000
"3446","UT515",1436,1998,37.47,-112.25,2750
"3465","AZ040",1630,1967,32.7,-109.98,2682
"3466","CO045",1855,1960,39,-105,1920
"3468","CO066",1457,1978,37.58,-108.55,2195
"3469","AZ033",1650,1965,32.58,-110.28,2134
"3472","AZ056",1625,1967,32.62,-109.82,2652
"3475","AZ503",1650,1966,33.3,-109.75,2027
"3479","AZ501",1526,1968,32.42,-110.77,2774
"3483","UT500",1730,1971,40.67,-109.9,2289
"3662","WA4",1885,1986,46.33,-121.17,810
"3670","WA3",1788,1986,47.37,-120.3,1250
"3675","WA2",1791,1986,46.63,-121.48,1120
"3716","MT110",819,2000,45.3,-111.33,2500
"3740","MT114",952,1998,45.3,-111.32,2500
"3741","CA607",1680,1991,37.72,-119.67,1310
"4041","MEXI004",1569,1971,29.52,-106.82,2333
"4078","NM046",1681,1969,35.87,-106.3,2164
"4232","CANA9",1598,1995,50.25,-121.67,200
"4294","AZ085",1263,1972,36.68,-110.53,2042
"4295","UT506",1201,1949,39.78,-110.3,1920
"4296","CO021",1400,1963,37.2,-108.5,2103
"4297","CO",1450,1963,37.2,-108.5,2103
"4298","CO502",1452,1940,37.8,-106.83,2743
"4342","CANA093",1773,1983,54.5,-122.5,690
"4351","CO578",1867,1982,40,-105.37,1900
"4660","CANA095",1669,1983,51.88,-121.25,810
"4825","MEXI022",1376,1993,26.4,-106.08,3170
"4826","MEXI023",1376,1993,26.4,-106.08,3170
"4827","MEXI024",1845,1995,24.83,-100.07,2500
"4835","MEXI025",1644,1993,27.7,-107.62,2200
"4846","MEXI026",1726,1998,20.4,-98.47,2580
"4847","MEXI027",1481,1993,23.75,-105.75,2591
"4848","MEXI028",1583,1993,28.33,-108,2250
"4861","TX046",1537,1992,31.9,-104.85,2438
"4879","MEXI031",1621,1993,30.4,-108.4,2070
"4921","MEXI033",1731,1998,20.17,-99.7,2560
"4947","NM579",1627,1992,32.8,-105.8,2865
"4951","MEXI037",1710,1998,19.53,-97.88,3120
"4963","AZ052",1666,1967,33.9,-109.17,2743
"4971","AZ060",1695,1967,36.25,-112.13,2560
"4974","NM011",1628,1967,34.03,-108.75,2713
"4976","NM112",1644,1982,34.23,-105.78,2170
"4978","NM010",1666,1967,33.9,-108.92,2697
"4985","AZ063",1617,1967,36.28,-111.97,2682
"4988","NM012",1520,1967,33.53,-108.63,2741
"4991","MEXI014",1675,1971,28.93,-102.62,2030
"4994","UT501",1635,1971,40.57,-109.95,2289
"4995","AZ062",1613,1967,36.33,-112.07,2774
"5001","CO046",1684,1964,37.07,-106.18,2637
"5002","TX001",1631,1965,29.25,-103.3,1981
"5004","CO053",1478,1964,38.57,-107.7,2426
"5005","CO060",1441,1964,39.68,-105.63,2835
"5009","AZ046",1474,1965,35.87,-109.43,2134
"5010","CO052",1107,1964,39.65,-106.87,1951
"5012","MEXI006",1592,1965,23.33,-105.6,2621
"5013","MEXI009",1668,1965,23.75,-105.52,2590
"5014","MEXI008",1592,1965,23.33,-105.6,2590
"5016","AZ105",1599,1973,33.95,-109.13,3200
"5020","AZ109",1598,1971,35,-113,1900
"5024","WY010",1444,1964,41.1,-106.08,2591
"5029","AZ027",1593,1965,34.38,-111,2284
"5032","CO050",1354,1964,40.92,-106.33,2469
"5033","UT505",1194,1964,39.78,-110.3,1920
"5035","NM020",1597,1970,32.35,-106.55,2438
"5043","CO055",1328,1964,38.48,-105.93,2195
"5045","AZ504",1645,1966,31.72,-110.85,2438
"5047","NM004",1542,1965,33,-105.67,2438
"5050","CO061",1322,1964,38.68,-106.87,2530
"5052","AZ050",1646,1966,35.18,-111.5,1981
"5054","NM502",1515,1965,32.93,-105.72,2728
"5055","NM097",1663,1965,32.98,-105.7,2791
"5092","NM063",1636,1980,33.25,-108.5,2134
"5197","MEXI030",1780,1999,25.27,-100.48,3300
"5210","WY029",1484,1999,44.18,-108.72,1474
"5211","WY028",1459,2000,43.43,-109.55,2696
"5280","CO589",1319,1999,38.73,-106.8,2926
"5283","CO592",1550,2000,40.42,-105.28,1890
"5289","CO593",1372,2002,38.08,-107,2895
"5295","CO597",1372,2002,39.6,-105.9,2880
"5296","CO599",1382,2000,39.6,-108.8,2591
"5299","CO603",1541,2002,39.93,-105.27,1889
"5301","WY031",1380,2001,41.15,-106.78,2500
"5304","CO604",1378,2000,39.85,-106.23,2514
"5305","CO606",1571,1999,40.07,-106.13,2499
"5310","CO580",1135,1999,39,-108.15,2987
"5311","CO572",894,1998,40.32,-105.55,2800
"5313","CO609",1541,1997,38.85,-106.02,2743
"5319","CO613",1486,2001,40.92,-106.33,2469
"5321","CO619",1192,2000,40.02,-105.52,2746
"5326","CO617",1169,2002,38.8,-106.23,2956
"5329","CO620",1525,2000,38.53,-107.22,2835
"5335","CO624",1275,2000,38.4,-106.43,2621
"5336","CO581",1539,1999,40.75,-106.85,2377
"5343","CO628",1480,1997,38.33,-105.27,2465
"5346","CO566",1534,1998,39.07,-104.43,2170
"5347","CO630",1454,1999,40.03,-106.07,2865
"5349","CO632",1336,1997,37.9,-105.15,2690
"5351","AZ557",1321,1998,32.45,-110.78,2550
"5396","AZ505",1693,1975,36.42,-112,2745
"5402","CANA163",-366,-100,48.53,-123.47,120
"5403","CANA164",-807,-670,48.53,-123.47,120
"5404","CANA165",-1017,-830,48.53,-123.47,120
"5405","CANA166",-1745,-1360,48.53,-123.47,120
"5406","CANA167",-1863,-1530,48.53,-123.47,120
"8517","NM580",-136,2004,34.97,-108.18,2375
"8546","MEXI044",1561,2000,17.17,-96.63,2550
"8547","MEXI045",1474,2004,19.17,-97.32,3154
"8586","MEXI046",1774,2000,17.18,-96.62,2592
"9678","NM583",1295,2007,36.35,-106.52,2042
"9697","NM584",644,2007,36.2833,-106.6166,2525
"9699","NM586",1298,2007,35.9167,-106.6833,2561
"9700","NM587",1304,2007,35.88,-106.67,2560
